Timeseries,"Wind Speed at 76.8 m
(m/sec)"
01-08-2007 19:00,7.51
01-08-2007 20:00,7.35
01-08-2007 21:00,7.02
01-08-2007 22:00,6.86
01-08-2007 23:00,6.53
01-09-2007 00:00,6.04
01-09-2007 01:00,5.39
01-09-2007 02:00,5.06
01-09-2007 03:00,5.06
01-09-2007 04:00,5.23
01-09-2007 05:00,5.72
01-09-2007 06:00,6.86
01-09-2007 07:00,8
01-09-2007 08:00,8.33
01-09-2007 09:00,8
01-09-2007 10:00,7.68
01-09-2007 11:00,7.35
01-09-2007 12:00,7.19
01-09-2007 13:00,7.19
01-09-2007 14:00,7.19
01-09-2007 15:00,7.51
01-09-2007 16:00,7.68
01-09-2007 17:00,7.68
01-09-2007 18:00,7.51
01-09-2007 19:00,7.35
01-09-2007 20:00,7.35
01-09-2007 21:00,7.51
01-09-2007 22:00,7.68
01-09-2007 23:00,7.51
01-10-2007 00:00,7.19
01-10-2007 01:00,6.86
01-10-2007 02:00,6.7
01-10-2007 03:00,6.7
01-10-2007 04:00,6.86
01-10-2007 05:00,6.7
01-10-2007 06:00,6.53
01-10-2007 07:00,6.21
01-10-2007 08:00,6.04
01-10-2007 09:00,6.04
01-10-2007 10:00,6.04
01-10-2007 11:00,6.21
01-10-2007 12:00,6.21
01-10-2007 13:00,6.37
01-10-2007 14:00,6.53
01-10-2007 15:00,6.7
01-10-2007 16:00,6.7
01-10-2007 17:00,6.7
01-10-2007 18:00,6.53
01-10-2007 19:00,6.21
01-10-2007 20:00,6.04
01-10-2007 21:00,6.04
01-10-2007 22:00,6.04
01-10-2007 23:00,6.04
01-11-2007 00:00,5.72
01-11-2007 01:00,5.39
01-11-2007 02:00,4.9
01-11-2007 03:00,4.25
01-11-2007 04:00,3.59
01-11-2007 05:00,3.59
01-11-2007 06:00,3.92
01-11-2007 07:00,4.41
01-11-2007 08:00,4.74
01-11-2007 09:00,5.23
01-11-2007 10:00,5.55
01-11-2007 11:00,5.55
01-11-2007 12:00,5.55
01-11-2007 13:00,5.55
01-11-2007 14:00,5.39
01-11-2007 15:00,5.39
01-11-2007 16:00,5.55
01-11-2007 17:00,5.39
01-11-2007 18:00,5.23
01-11-2007 19:00,5.06
01-11-2007 20:00,5.06
01-11-2007 21:00,5.06
01-11-2007 22:00,5.06
01-11-2007 23:00,5.06
01-12-2007 00:00,4.9
01-12-2007 01:00,4.57
01-12-2007 02:00,4.41
01-12-2007 03:00,4.08
01-12-2007 04:00,3.76
01-12-2007 05:00,3.92
01-12-2007 06:00,4.57
01-12-2007 07:00,5.23
01-12-2007 08:00,5.55
01-12-2007 09:00,5.55
01-12-2007 10:00,5.55
01-12-2007 11:00,5.55
01-12-2007 12:00,5.39
01-12-2007 13:00,5.39
01-12-2007 14:00,5.39
01-12-2007 15:00,5.55
01-12-2007 16:00,5.72
01-12-2007 17:00,5.88
01-12-2007 18:00,6.04
01-12-2007 19:00,6.21
01-12-2007 20:00,6.04
01-12-2007 21:00,5.88
01-12-2007 22:00,5.72
01-12-2007 23:00,5.39
1/13/2007 0:00,5.06
1/13/2007 1:00,4.57
1/13/2007 2:00,4.25
1/13/2007 3:00,3.76
1/13/2007 4:00,3.27
1/13/2007 5:00,3.27
1/13/2007 6:00,3.76
1/13/2007 7:00,4.41
1/13/2007 8:00,4.9
1/13/2007 9:00,5.39
1/13/2007 10:00,5.88
1/13/2007 11:00,6.21
1/13/2007 12:00,6.04
1/13/2007 13:00,6.04
1/13/2007 14:00,5.88
1/13/2007 15:00,5.72
1/13/2007 16:00,5.39
1/13/2007 17:00,5.06
1/13/2007 18:00,5.06
1/13/2007 19:00,4.9
1/13/2007 20:00,4.9
1/13/2007 21:00,4.74
1/13/2007 22:00,4.57
1/13/2007 23:00,4.41
1/14/2007 0:00,3.92
1/14/2007 1:00,3.59
1/14/2007 2:00,3.43
1/14/2007 3:00,3.43
1/14/2007 4:00,3.59
1/14/2007 5:00,3.76
1/14/2007 6:00,4.08
1/14/2007 7:00,4.25
1/14/2007 8:00,4.41
1/14/2007 9:00,4.57
1/14/2007 10:00,4.9
1/14/2007 11:00,4.9
1/14/2007 12:00,4.9
1/14/2007 13:00,4.9
1/14/2007 14:00,4.74
1/14/2007 15:00,4.57
1/14/2007 16:00,4.25
1/14/2007 17:00,4.25
1/14/2007 18:00,4.41
1/14/2007 19:00,4.74
1/14/2007 20:00,4.74
1/14/2007 21:00,4.41
1/14/2007 22:00,4.25
1/14/2007 23:00,4.08
1/15/2007 0:00,3.76
1/15/2007 1:00,3.43
1/15/2007 2:00,3.43
1/15/2007 3:00,3.27
1/15/2007 4:00,3.27
1/15/2007 5:00,3.43
1/15/2007 6:00,3.92
1/15/2007 7:00,4.25
1/15/2007 8:00,4.41
1/15/2007 9:00,3.92
1/15/2007 10:00,3.76
1/15/2007 11:00,3.27
1/15/2007 12:00,2.94
1/15/2007 13:00,2.61
1/15/2007 14:00,2.45
1/15/2007 15:00,2.45
1/15/2007 16:00,2.61
1/15/2007 17:00,2.94
1/15/2007 18:00,3.43
1/15/2007 19:00,3.92
1/15/2007 20:00,4.25
1/15/2007 21:00,4.25
1/15/2007 22:00,4.25
1/15/2007 23:00,4.25
1/16/2007 0:00,3.92
1/16/2007 1:00,3.76
1/16/2007 2:00,3.59
1/16/2007 3:00,3.27
1/16/2007 4:00,3.1
1/16/2007 5:00,3.27
1/16/2007 6:00,3.76
1/16/2007 7:00,4.25
1/16/2007 8:00,4.25
1/16/2007 9:00,3.76
1/16/2007 10:00,3.1
1/16/2007 11:00,2.61
1/16/2007 12:00,2.29
1/16/2007 13:00,1.96
1/16/2007 14:00,2.12
1/16/2007 15:00,2.12
1/16/2007 16:00,2.29
1/16/2007 17:00,2.45
1/16/2007 18:00,2.78
1/16/2007 19:00,3.1
1/16/2007 20:00,3.1
1/16/2007 21:00,3.27
1/16/2007 22:00,3.43
1/16/2007 23:00,3.43
1/17/2007 0:00,3.43
1/17/2007 1:00,3.43
1/17/2007 2:00,3.59
1/17/2007 3:00,3.43
1/17/2007 4:00,3.43
1/17/2007 5:00,3.59
1/17/2007 6:00,3.59
1/17/2007 7:00,3.76
1/17/2007 8:00,3.59
1/17/2007 9:00,3.59
1/17/2007 10:00,3.92
1/17/2007 11:00,4.41
1/17/2007 12:00,4.74
1/17/2007 13:00,4.9
1/17/2007 14:00,4.9
1/17/2007 15:00,4.74
1/17/2007 16:00,4.41
1/17/2007 17:00,4.57
1/17/2007 18:00,5.23
1/17/2007 19:00,5.72
1/17/2007 20:00,5.88
1/17/2007 21:00,5.72
1/17/2007 22:00,5.72
1/17/2007 23:00,5.39
1/18/2007 0:00,4.9
1/18/2007 1:00,4.25
1/18/2007 2:00,3.92
1/18/2007 3:00,3.59
1/18/2007 4:00,3.59
1/18/2007 5:00,3.76
1/18/2007 6:00,4.41
1/18/2007 7:00,5.23
1/18/2007 8:00,5.72
1/18/2007 9:00,6.37
1/18/2007 10:00,7.02
1/18/2007 11:00,7.19
1/18/2007 12:00,7.02
1/18/2007 13:00,7.02
1/18/2007 14:00,6.86
1/18/2007 15:00,6.53
1/18/2007 16:00,6.37
1/18/2007 17:00,6.37
1/18/2007 18:00,6.37
1/18/2007 19:00,6.37
1/18/2007 20:00,6.53
1/18/2007 21:00,6.7
1/18/2007 22:00,6.86
1/18/2007 23:00,6.7
1/19/2007 0:00,5.88
1/19/2007 1:00,5.06
1/19/2007 2:00,4.57
1/19/2007 3:00,4.08
1/19/2007 4:00,3.76
1/19/2007 5:00,3.59
1/19/2007 6:00,4.08
1/19/2007 7:00,4.41
1/19/2007 8:00,5.06
1/19/2007 9:00,5.88
1/19/2007 10:00,6.7
1/19/2007 11:00,7.19
1/19/2007 12:00,7.19
1/19/2007 13:00,7.19
1/19/2007 14:00,6.86
1/19/2007 15:00,6.21
1/19/2007 16:00,5.55
1/19/2007 17:00,5.06
1/19/2007 18:00,4.74
1/19/2007 19:00,4.57
1/19/2007 20:00,4.25
1/19/2007 21:00,4.25
1/19/2007 22:00,4.08
1/19/2007 23:00,3.92
1/20/2007 0:00,3.59
1/20/2007 1:00,3.27
1/20/2007 2:00,3.27
1/20/2007 3:00,3.43
1/20/2007 4:00,3.59
1/20/2007 5:00,3.76
1/20/2007 6:00,3.92
1/20/2007 7:00,4.08
1/20/2007 8:00,4.41
1/20/2007 9:00,5.06
1/20/2007 10:00,6.04
1/20/2007 11:00,6.7
1/20/2007 12:00,7.19
1/20/2007 13:00,7.51
1/20/2007 14:00,7.35
1/20/2007 15:00,7.02
1/20/2007 16:00,6.53
1/20/2007 17:00,6.21
1/20/2007 18:00,5.55
1/20/2007 19:00,5.06
1/20/2007 20:00,4.9
1/20/2007 21:00,4.74
1/20/2007 22:00,4.74
1/20/2007 23:00,4.57
1/21/2007 0:00,4.41
1/21/2007 1:00,4.25
1/21/2007 2:00,4.08
1/21/2007 3:00,3.92
1/21/2007 4:00,3.76
1/21/2007 5:00,3.76
1/21/2007 6:00,4.08
1/21/2007 7:00,4.41
1/21/2007 8:00,4.74
1/21/2007 9:00,5.23
1/21/2007 10:00,6.04
1/21/2007 11:00,6.53
1/21/2007 12:00,7.02
1/21/2007 13:00,7.35
1/21/2007 14:00,7.35
1/21/2007 15:00,6.7
1/21/2007 16:00,6.04
1/21/2007 17:00,5.55
1/21/2007 18:00,5.39
1/21/2007 19:00,5.23
1/21/2007 20:00,5.06
1/21/2007 21:00,4.74
1/21/2007 22:00,4.57
1/21/2007 23:00,4.41
1/22/2007 0:00,3.92
1/22/2007 1:00,3.76
1/22/2007 2:00,3.43
1/22/2007 3:00,3.27
1/22/2007 4:00,3.1
1/22/2007 5:00,3.1
1/22/2007 6:00,3.43
1/22/2007 7:00,3.76
1/22/2007 8:00,3.59
1/22/2007 9:00,3.59
1/22/2007 10:00,4.41
1/22/2007 11:00,5.39
1/22/2007 12:00,6.21
1/22/2007 13:00,6.86
1/22/2007 14:00,7.02
1/22/2007 15:00,6.53
1/22/2007 16:00,6.21
1/22/2007 17:00,5.88
1/22/2007 18:00,5.55
1/22/2007 19:00,5.39
1/22/2007 20:00,5.06
1/22/2007 21:00,4.9
1/22/2007 22:00,4.74
1/22/2007 23:00,4.57
1/23/2007 0:00,4.25
1/23/2007 1:00,3.92
1/23/2007 2:00,3.59
1/23/2007 3:00,3.43
1/23/2007 4:00,3.43
1/23/2007 5:00,3.59
1/23/2007 6:00,4.25
1/23/2007 7:00,4.9
1/23/2007 8:00,5.39
1/23/2007 9:00,5.55
1/23/2007 10:00,6.04
1/23/2007 11:00,6.37
1/23/2007 12:00,6.21
1/23/2007 13:00,6.21
1/23/2007 14:00,6.04
1/23/2007 15:00,5.55
1/23/2007 16:00,5.06
1/23/2007 17:00,5.06
1/23/2007 18:00,5.39
1/23/2007 19:00,5.88
1/23/2007 20:00,6.04
1/23/2007 21:00,6.21
1/23/2007 22:00,6.53
1/23/2007 23:00,6.7
1/24/2007 0:00,6.53
1/24/2007 1:00,6.37
1/24/2007 2:00,5.88
1/24/2007 3:00,5.23
1/24/2007 4:00,4.57
1/24/2007 5:00,4.41
1/24/2007 6:00,4.74
1/24/2007 7:00,5.23
1/24/2007 8:00,5.55
1/24/2007 9:00,6.04
1/24/2007 10:00,6.7
1/24/2007 11:00,7.35
1/24/2007 12:00,7.51
1/24/2007 13:00,7.84
1/24/2007 14:00,8.17
1/24/2007 15:00,8.33
1/24/2007 16:00,8.66
1/24/2007 17:00,8.66
1/24/2007 18:00,8.33
1/24/2007 19:00,8
1/24/2007 20:00,7.84
1/24/2007 21:00,7.68
1/24/2007 22:00,7.51
1/24/2007 23:00,7.19
1/25/2007 0:00,6.53
1/25/2007 1:00,5.88
1/25/2007 2:00,5.23
1/25/2007 3:00,4.41
1/25/2007 4:00,3.59
1/25/2007 5:00,3.59
1/25/2007 6:00,4.25
1/25/2007 7:00,5.06
1/25/2007 8:00,5.88
1/25/2007 9:00,6.7
1/25/2007 10:00,7.68
1/25/2007 11:00,8.17
1/25/2007 12:00,8.17
1/25/2007 13:00,8
1/25/2007 14:00,7.84
1/25/2007 15:00,7.68
1/25/2007 16:00,7.51
1/25/2007 17:00,7.19
1/25/2007 18:00,6.86
1/25/2007 19:00,6.53
1/25/2007 20:00,6.37
1/25/2007 21:00,6.37
1/25/2007 22:00,6.53
1/25/2007 23:00,6.37
1/26/2007 0:00,6.04
1/26/2007 1:00,5.88
1/26/2007 2:00,5.72
1/26/2007 3:00,5.88
1/26/2007 4:00,5.88
1/26/2007 5:00,5.88
1/26/2007 6:00,5.88
1/26/2007 7:00,5.88
1/26/2007 8:00,5.72
1/26/2007 9:00,5.72
1/26/2007 10:00,5.72
1/26/2007 11:00,5.72
1/26/2007 12:00,5.72
1/26/2007 13:00,5.72
1/26/2007 14:00,5.72
1/26/2007 15:00,5.72
1/26/2007 16:00,5.88
1/26/2007 17:00,5.72
1/26/2007 18:00,5.39
1/26/2007 19:00,5.23
1/26/2007 20:00,5.06
1/26/2007 21:00,5.39
1/26/2007 22:00,5.72
1/26/2007 23:00,5.72
1/27/2007 0:00,5.39
1/27/2007 1:00,5.23
1/27/2007 2:00,4.9
1/27/2007 3:00,4.41
1/27/2007 4:00,4.08
1/27/2007 5:00,4.08
1/27/2007 6:00,4.57
1/27/2007 7:00,4.9
1/27/2007 8:00,5.06
1/27/2007 9:00,5.06
1/27/2007 10:00,5.23
1/27/2007 11:00,5.23
1/27/2007 12:00,5.39
1/27/2007 13:00,5.39
1/27/2007 14:00,5.72
1/27/2007 15:00,6.21
1/27/2007 16:00,6.7
1/27/2007 17:00,6.86
1/27/2007 18:00,6.86
1/27/2007 19:00,6.86
1/27/2007 20:00,7.19
1/27/2007 21:00,7.51
1/27/2007 22:00,8
1/27/2007 23:00,8
1/28/2007 0:00,7.51
1/28/2007 1:00,7.19
1/28/2007 2:00,6.7
1/28/2007 3:00,6.04
1/28/2007 4:00,5.39
1/28/2007 5:00,5.39
1/28/2007 6:00,5.88
1/28/2007 7:00,6.53
1/28/2007 8:00,6.86
1/28/2007 9:00,7.02
1/28/2007 10:00,7.19
1/28/2007 11:00,7.35
1/28/2007 12:00,7.19
1/28/2007 13:00,7.19
1/28/2007 14:00,7.19
1/28/2007 15:00,7.19
1/28/2007 16:00,7.19
1/28/2007 17:00,7.02
1/28/2007 18:00,7.02
1/28/2007 19:00,7.02
1/28/2007 20:00,7.19
1/28/2007 21:00,7.51
1/28/2007 22:00,7.84
1/28/2007 23:00,8
1/29/2007 0:00,7.84
1/29/2007 1:00,7.68
1/29/2007 2:00,7.19
1/29/2007 3:00,6.53
1/29/2007 4:00,6.04
1/29/2007 5:00,6.04
1/29/2007 6:00,6.53
1/29/2007 7:00,7.02
1/29/2007 8:00,7.35
1/29/2007 9:00,7.35
1/29/2007 10:00,7.35
1/29/2007 11:00,7.35
1/29/2007 12:00,7.19
1/29/2007 13:00,7.02
1/29/2007 14:00,7.02
1/29/2007 15:00,7.02
1/29/2007 16:00,7.02
1/29/2007 17:00,7.02
1/29/2007 18:00,6.7
1/29/2007 19:00,6.37
1/29/2007 20:00,6.37
1/29/2007 21:00,6.7
1/29/2007 22:00,7.02
1/29/2007 23:00,7.02
1/30/2007 0:00,6.7
1/30/2007 1:00,6.53
1/30/2007 2:00,6.37
1/30/2007 3:00,6.21
1/30/2007 4:00,6.04
1/30/2007 5:00,6.04
1/30/2007 6:00,6.37
1/30/2007 7:00,6.7
1/30/2007 8:00,6.7
1/30/2007 9:00,6.21
1/30/2007 10:00,6.04
1/30/2007 11:00,5.88
1/30/2007 12:00,5.88
1/30/2007 13:00,6.04
1/30/2007 14:00,6.21
1/30/2007 15:00,6.53
1/30/2007 16:00,6.86
1/30/2007 17:00,6.86
1/30/2007 18:00,6.86
1/30/2007 19:00,6.7
1/30/2007 20:00,6.53
1/30/2007 21:00,6.53
1/30/2007 22:00,6.53
1/30/2007 23:00,6.37
1/31/2007 0:00,5.72
1/31/2007 1:00,5.23
1/31/2007 2:00,4.74
1/31/2007 3:00,4.41
1/31/2007 4:00,3.92
1/31/2007 5:00,3.92
1/31/2007 6:00,4.41
1/31/2007 7:00,4.9
1/31/2007 8:00,5.23
1/31/2007 9:00,5.55
1/31/2007 10:00,5.88
1/31/2007 11:00,6.37
1/31/2007 12:00,6.7
1/31/2007 13:00,7.19
1/31/2007 14:00,7.35
1/31/2007 15:00,7.02
1/31/2007 16:00,6.7
1/31/2007 17:00,6.37
1/31/2007 18:00,6.04
1/31/2007 19:00,5.55
1/31/2007 20:00,5.39
1/31/2007 21:00,5.39
1/31/2007 22:00,5.39
1/31/2007 23:00,5.06
02-01-2007 00:00,4.57
02-01-2007 01:00,3.92
02-01-2007 02:00,3.76
02-01-2007 03:00,4.08
02-01-2007 04:00,4.41
02-01-2007 05:00,4.57
02-01-2007 06:00,4.9
02-01-2007 07:00,5.06
02-01-2007 08:00,5.72
02-01-2007 09:00,6.7
02-01-2007 10:00,7.68
02-01-2007 11:00,8.49
02-01-2007 12:00,8.82
02-01-2007 13:00,9.15
02-01-2007 14:00,8.98
02-01-2007 15:00,8.33
02-01-2007 16:00,7.68
02-01-2007 17:00,7.19
02-01-2007 18:00,6.7
02-01-2007 19:00,6.21
02-01-2007 20:00,6.04
02-01-2007 21:00,6.21
02-01-2007 22:00,6.37
02-01-2007 23:00,6.21
02-02-2007 00:00,5.55
02-02-2007 01:00,4.9
02-02-2007 02:00,4.57
02-02-2007 03:00,4.25
02-02-2007 04:00,4.08
02-02-2007 05:00,4.41
02-02-2007 06:00,5.06
02-02-2007 07:00,6.04
02-02-2007 08:00,6.7
02-02-2007 09:00,7.51
02-02-2007 10:00,8.33
02-02-2007 11:00,8.66
02-02-2007 12:00,8.17
02-02-2007 13:00,7.84
02-02-2007 14:00,7.51
02-02-2007 15:00,7.35
02-02-2007 16:00,7.19
02-02-2007 17:00,7.02
02-02-2007 18:00,6.53
02-02-2007 19:00,6.04
02-02-2007 20:00,5.88
02-02-2007 21:00,6.21
02-02-2007 22:00,6.53
02-02-2007 23:00,6.37
02-03-2007 00:00,5.88
02-03-2007 01:00,5.23
02-03-2007 02:00,4.74
02-03-2007 03:00,4.25
02-03-2007 04:00,3.59
02-03-2007 05:00,3.76
02-03-2007 06:00,4.25
02-03-2007 07:00,4.74
02-03-2007 08:00,4.74
02-03-2007 09:00,4.57
02-03-2007 10:00,4.74
02-03-2007 11:00,4.41
02-03-2007 12:00,3.92
02-03-2007 13:00,3.76
02-03-2007 14:00,3.59
02-03-2007 15:00,3.1
02-03-2007 16:00,2.61
02-03-2007 17:00,2.45
02-03-2007 18:00,2.61
02-03-2007 19:00,2.78
02-03-2007 20:00,2.78
02-03-2007 21:00,2.45
02-03-2007 22:00,2.29
02-03-2007 23:00,2.29
02-04-2007 00:00,2.61
02-04-2007 01:00,2.94
02-04-2007 02:00,3.1
02-04-2007 03:00,2.94
02-04-2007 04:00,2.94
02-04-2007 05:00,3.1
02-04-2007 06:00,3.27
02-04-2007 07:00,3.59
02-04-2007 08:00,3.59
02-04-2007 09:00,3.1
02-04-2007 10:00,2.61
02-04-2007 11:00,1.96
02-04-2007 12:00,1.14
02-04-2007 13:00,0.98
02-04-2007 14:00,1.14
02-04-2007 15:00,1.14
02-04-2007 16:00,1.47
02-04-2007 17:00,1.8
02-04-2007 18:00,2.45
02-04-2007 19:00,2.94
02-04-2007 20:00,2.78
02-04-2007 21:00,1.96
02-04-2007 22:00,1.63
02-04-2007 23:00,1.63
02-05-2007 00:00,1.8
02-05-2007 01:00,2.12
02-05-2007 02:00,2.29
02-05-2007 03:00,2.29
02-05-2007 04:00,2.12
02-05-2007 05:00,2.29
02-05-2007 06:00,2.61
02-05-2007 07:00,3.1
02-05-2007 08:00,3.27
02-05-2007 09:00,3.43
02-05-2007 10:00,3.59
02-05-2007 11:00,3.27
02-05-2007 12:00,2.29
02-05-2007 13:00,1.47
02-05-2007 14:00,0.98
02-05-2007 15:00,1.31
02-05-2007 16:00,1.8
02-05-2007 17:00,2.45
02-05-2007 18:00,2.78
02-05-2007 19:00,3.27
02-05-2007 20:00,3.27
02-05-2007 21:00,2.94
02-05-2007 22:00,2.78
02-05-2007 23:00,2.61
02-06-2007 00:00,2.45
02-06-2007 01:00,2.78
02-06-2007 02:00,2.94
02-06-2007 03:00,3.27
02-06-2007 04:00,3.43
02-06-2007 05:00,3.76
02-06-2007 06:00,4.08
02-06-2007 07:00,4.57
02-06-2007 08:00,4.74
02-06-2007 09:00,4.9
02-06-2007 10:00,5.23
02-06-2007 11:00,4.9
02-06-2007 12:00,4.08
02-06-2007 13:00,3.43
02-06-2007 14:00,2.94
02-06-2007 15:00,2.45
02-06-2007 16:00,1.96
02-06-2007 17:00,1.96
02-06-2007 18:00,2.45
02-06-2007 19:00,3.1
02-06-2007 20:00,2.94
02-06-2007 21:00,2.61
02-06-2007 22:00,2.78
02-06-2007 23:00,3.1
02-07-2007 00:00,2.94
02-07-2007 01:00,2.94
02-07-2007 02:00,2.94
02-07-2007 03:00,2.94
02-07-2007 04:00,2.94
02-07-2007 05:00,3.27
02-07-2007 06:00,4.08
02-07-2007 07:00,4.74
02-07-2007 08:00,4.74
02-07-2007 09:00,4.41
02-07-2007 10:00,4.08
02-07-2007 11:00,3.59
02-07-2007 12:00,2.94
02-07-2007 13:00,2.45
02-07-2007 14:00,2.61
02-07-2007 15:00,2.94
02-07-2007 16:00,3.27
02-07-2007 17:00,3.43
02-07-2007 18:00,3.27
02-07-2007 19:00,3.1
02-07-2007 20:00,2.94
02-07-2007 21:00,2.61
02-07-2007 22:00,2.78
02-07-2007 23:00,3.27
02-08-2007 00:00,4.08
02-08-2007 01:00,4.9
02-08-2007 02:00,5.06
02-08-2007 03:00,4.74
02-08-2007 04:00,4.25
02-08-2007 05:00,4.57
02-08-2007 06:00,5.23
02-08-2007 07:00,5.88
02-08-2007 08:00,5.88
02-08-2007 09:00,5.55
02-08-2007 10:00,5.23
02-08-2007 11:00,4.9
02-08-2007 12:00,4.41
02-08-2007 13:00,4.25
02-08-2007 14:00,4.25
02-08-2007 15:00,3.92
02-08-2007 16:00,3.92
02-08-2007 17:00,3.92
02-08-2007 18:00,4.08
02-08-2007 19:00,4.25
02-08-2007 20:00,4.74
02-08-2007 21:00,5.88
02-08-2007 22:00,6.86
02-08-2007 23:00,7.35
02-09-2007 00:00,7.19
02-09-2007 01:00,7.19
02-09-2007 02:00,6.7
02-09-2007 03:00,5.72
02-09-2007 04:00,4.9
02-09-2007 05:00,4.74
02-09-2007 06:00,5.72
02-09-2007 07:00,6.53
02-09-2007 08:00,7.35
02-09-2007 09:00,8.33
02-09-2007 10:00,9.31
02-09-2007 11:00,9.8
02-09-2007 12:00,9.47
02-09-2007 13:00,9.31
02-09-2007 14:00,8.82
02-09-2007 15:00,8.33
02-09-2007 16:00,7.84
02-09-2007 17:00,7.51
02-09-2007 18:00,7.19
02-09-2007 19:00,7.02
02-09-2007 20:00,7.02
02-09-2007 21:00,7.51
02-09-2007 22:00,7.84
02-09-2007 23:00,7.84
02-10-2007 00:00,7.19
02-10-2007 01:00,6.7
02-10-2007 02:00,6.04
02-10-2007 03:00,5.55
02-10-2007 04:00,4.9
02-10-2007 05:00,4.9
02-10-2007 06:00,5.39
02-10-2007 07:00,5.72
02-10-2007 08:00,5.88
02-10-2007 09:00,5.72
02-10-2007 10:00,5.55
02-10-2007 11:00,5.39
02-10-2007 12:00,4.9
02-10-2007 13:00,4.41
02-10-2007 14:00,4.08
02-10-2007 15:00,3.76
02-10-2007 16:00,3.59
02-10-2007 17:00,3.27
